Network;NetType;ESSID;BSSID;Info;Channel;Cloaked;Encryption;Decrypted;MaxRate;MaxSeenRate;Beacon;LLC;Data;Crypt;Weak;Total;Carrier;Encoding;FirstTime;LastTime;BestQuality;BestSignal;BestNoise;GPSMinLat;GPSMinLon;GPSMinAlt;GPSMinSpd;GPSMaxLat;GPSMaxLon;GPSMaxAlt;GPSMaxSpd;GPSBestLat;GPSBestLon;GPSBestAlt;DataSize;IPType;IP;
1;infrastructure;athome191;7C:8B:CA:83:E2:1C;;11;No;WPA2,AES-CCM;No;270.0;0;5;0;2;0;0;2;;;Sun Nov 25 03:07:33 2018;Sun Nov 25 03:07:37 2018;-69;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
2;infrastructure;Hobbit_2.4G;B0:4E:26:D9:22:E2;;1;No;WPA2,WPA,AES-CCM,TKIP;No;405.0;0;9;0;0;0;0;0;;;Sun Nov 25 03:07:34 2018;Sun Nov 25 03:07:37 2018;-58;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
3;infrastructure;ASUS;14:DD:A9:CD:F7:70;;6;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Sun Nov 25 03:07:34 2018;Sun Nov 25 03:07:37 2018;-72;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
4;infrastructure;Sky104;18:0F:76:93:FD:C5;;13;No;WPA2,AES-CCM;No;130.0;0;2;0;0;0;0;0;;;Sun Nov 25 03:07:34 2018;Sun Nov 25 03:07:34 2018;-91;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
5;infrastructure;WiFi-Dom.ru-3624;E0:46:9A:3B:1B:3A;;3;No;WPA2,WPA,AES-CCM,TKIP;No;65.0;0;11;0;23;0;0;23;;;Sun Nov 25 03:07:34 2018;Sun Nov 25 03:07:38 2018;-78;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
6;infrastructure;ASUS;10:C3:7B:C9:54:B4;;2;No;WPA2,AES-CCM;No;130.0;0;3;0;0;0;0;0;;;Sun Nov 25 03:07:34 2018;Sun Nov 25 03:07:38 2018;-87;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
7;infrastructure;island-238720;30:87:D9:63:87:23;;3;No;WPA2,AES-CCM;No;130.0;0;4;0;0;0;0;0;;;Sun Nov 25 03:07:35 2018;Sun Nov 25 03:07:35 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
8;infrastructure;Tetnet;64:66:B3:33:80:C4;;5;No;WPA2,AES-CCM;No;270.0;0;3;0;0;0;0;0;;;Sun Nov 25 03:07:36 2018;Sun Nov 25 03:07:36 2018;-80;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
9;infrastructure;Xiaomi_003F;F0:B4:29:83:00:40;;6;No;WPA2,AES-CCM,TKIP;No;130.0;0;2;0;2;0;0;2;;;Sun Nov 25 03:07:36 2018;Sun Nov 25 03:07:37 2018;-83;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
10;infrastructure;Techno;00:1F:C6:3D:92:DC;;11;No;WPA2,AES-CCM;No;54.0;0;3;0;0;0;0;0;;;Sun Nov 25 03:07:36 2018;Sun Nov 25 03:07:37 2018;-86;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
11;infrastructure;nnz;00:26:5A:32:C4:1D;;6;No;WPA2,WPA,AES-CCM,TKIP;No;54.0;0;2;0;0;0;0;0;;;Sun Nov 25 03:07:37 2018;Sun Nov 25 03:07:37 2018;-85;0;0;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0;0;0.0.0.0;
